City,Customer ID,Customer Name,Segment,Country,State,Postal Code,Region
Gaithersburg,BM-11575,Brendan Murry,Corporate,United States,Maryland,20877,East
Los Angeles,LR-16915,Lena Radford,Consumer,United States,California,90045,West
San Antonio,CA-12310,Christine Abelman,Corporate,United States,Texas,78207,Central
Broken Arrow,BO-11350,Bill Overfelt,Corporate,United States,Oklahoma,74012,Central
Charlotte,EB-13975,Erica Bern,Corporate,United States,North Carolina,28205,South
Philadelphia,BP-11185,Ben Peterman,Corporate,United States,Pennsylvania,19143,East
Jacksonville,AJ-10795,Anthony Johnson,Corporate,United States,Florida,32216,South
Oakland,DW-13480,Dianna Wilson,Home Office,United States,California,94601,West
Amarillo,NM-18520,Neoma Murray,Consumer,United States,Texas,79109,Central
Franklin,JO-15145,Jack O'Briant,Corporate,United States,Wisconsin,53132,Central
Raleigh,VS-21820,Vivek Sundaresam,Consumer,United States,North Carolina,27604,South
Fresno,LA-16780,Laura Armstrong,Corporate,United States,California,93727,West
Toledo,MF-17665,Maureen Fritzler,Corporate,United States,Ohio,43615,East
Seattle,KB-16585,Ken Black,Corporate,United States,Washington,98115,West
Longview,JB-16000,Joy Bell-,Consumer,United States,Washington,98632,West
Springfield,DE-13255,Deanra Eno,Home Office,United States,Ohio,45503,East
Columbus,MP-17470,Mark Packer,Home Office,United States,Ohio,43229,East
Concord,AG-10675,Anna Gayman,Consumer,United States,North Carolina,28027,South
Westfield,Dp-13240,Dean percer,Home Office,United States,New Jersey,7090,East
Fairfield,RC-19825,Roy Collins,Consumer,United States,Connecticut,6824,East
New York City,WB-21850,William Brown,Consumer,United States,New York,10011,East
New York City,BE-11335,Bill Eplett,Home Office,United States,New York,10009,East
Los Angeles,EH-13945,Eric Hoffmann,Consumer,United States,California,90049,West
Concord,CC-12430,Chuck Clark,Home Office,United States,New Hampshire,3301,East
Columbus,DL-13495,Dionis Lloyd,Corporate,United States,Georgia,31907,South
San Diego,TD-20995,Tamara Dahlen,Consumer,United States,California,92037,West
Morristown,PG-18895,Paul Gonzalez,Consumer,United States,New Jersey,7960,East
Fayetteville,CM-11935,Carlos Meador,Consumer,United States,North Carolina,28314,South
Seattle,AJ-10795,Anthony Johnson,Corporate,United States,Washington,98115,West
Seattle,MC-17275,Marc Crier,Consumer,United States,Washington,98105,West
San Diego,FP-14320,Frank Preis,Consumer,United States,California,92037,West
Cleveland,BT-11530,Bradley Talbott,Home Office,United States,Ohio,44105,East
New York City,TB-21280,Toby Braunhardt,Consumer,United States,New York,10009,East
Los Angeles,CB-12415,Christy Brittain,Consumer,United States,California,90036,West
Burlington,CB-12535,Claudia Bergmann,Corporate,United States,Vermont,5408,East
Gulfport,HG-14965,Henry Goldwyn,Corporate,United States,Mississippi,39503,South
Plainfield,TB-21355,Todd Boyes,Corporate,United States,New Jersey,7060,East
New York City,JD-15895,Jonathan Doherty,Corporate,United States,New York,10024,East
Los Angeles,HG-14965,Henry Goldwyn,Corporate,United States,California,90036,West
San Francisco,JF-15490,Jeremy Farry,Consumer,United States,California,94122,West
San Francisco,SC-20725,Steven Cartwright,Consumer,United States,California,94122,West
Seattle,TB-21250,Tim Brockman,Consumer,United States,Washington,98103,West
Chicago,HE-14800,Harold Engle,Corporate,United States,Illinois,60623,Central
Rockford,DF-13135,David Flashing,Consumer,United States,Illinois,61107,Central
Los Angeles,SC-20050,Sample Company A,Home Office,United States,California,90045,West
Dallas,AB-10150,Aimee Bixby,Consumer,United States,Texas,75220,Central
Atlantic City,JK-15325,Jason Klamczynski,Corporate,United States,New Jersey,8401,East
Atlanta,BF-11170,Ben Ferrer,Home Office,United States,Georgia,30318,South
Arlington,CK-12760,Cyma Kinney,Corporate,United States,Virginia,22204,South
Los Angeles,SM-20950,Suzanne McNair,Corporate,United States,California,90036,West
New York City,AB-10105,Adrian Barton,Consumer,United States,New York,10011,East
Arlington,SE-20110,Sanjit Engle,Consumer,United States,Virginia,22204,South
Houston,NS-18640,Noel Staavos,Corporate,United States,Texas,77041,Central
Richmond,LC-17050,Liz Carlisle,Consumer,United States,Kentucky,40475,South
Sierra Vista,TB-21520,Tracy Blumstein,Consumer,United States,Arizona,85635,West
Rockville,MS-17365,Maribeth Schnelling,Consumer,United States,Maryland,20852,East
Los Angeles,JB-15400,Jennifer Braxton,Corporate,United States,California,90049,West
Smyrna,PP-18955,Paul Prost,Home Office,United States,Georgia,30080,South
San Diego,AZ-10750,Annie Zypern,Consumer,United States,California,92037,West
Chattanooga,KB-16240,Karen Bern,Corporate,United States,Tennessee,37421,South
Springfield,CA-12265,Christina Anderson,Consumer,United States,Virginia,22153,South
Lancaster,BE-11410,Bobby Elias,Consumer,United States,Ohio,43130,East
Los Angeles,EB-13975,Erica Bern,Corporate,United States,California,90049,West
Raleigh,CH-12070,Cathy Hwang,Home Office,United States,North Carolina,27604,South
Houston,MH-17440,Mark Haberlin,Corporate,United States,Texas,77036,Central
San Francisco,JR-16210,Justin Ritter,Corporate,United States,California,94110,West
Tulsa,PB-19210,Phillip Breyer,Corporate,United States,Oklahoma,74133,Central
Atlanta,JS-15880,John Stevenson,Consumer,United States,Georgia,30318,South
Los Angeles,RD-19810,Ross DeVincentis,Home Office,United States,California,90045,West
Clinton,DK-13090,Dave Kipp,Consumer,United States,Maryland,20735,East
Jackson,FM-14380,Fred McMath,Consumer,United States,Mississippi,39212,South
New York City,PG-18820,Patrick Gardner,Consumer,United States,New York,10009,East
Chicago,EA-14035,Erin Ashbrook,Corporate,United States,Illinois,60623,Central
Belleville,JD-15790,John Dryer,Consumer,United States,New Jersey,7109,East
Henderson,GW-14605,Giulietta Weimer,Consumer,United States,Kentucky,42420,South
New York City,JF-15565,Jill Fjeld,Consumer,United States,New York,10024,East
New York City,GT-14710,Greg Tran,Consumer,United States,New York,10035,East
Long Beach,CK-12760,Cyma Kinney,Corporate,United States,New York,11561,East
San Francisco,GT-14710,Greg Tran,Consumer,United States,California,94109,West
Nashville,AH-10210,Alan Hwang,Consumer,United States,Tennessee,37211,South
Los Angeles,MC-17635,Matthew Clasen,Corporate,United States,California,90032,West
Oceanside,BV-11245,Benjamin Venier,Corporate,United States,New York,11572,East
Tampa,LC-16960,Lindsay Castell,Home Office,United States,Florida,33614,South
New York City,EA-14035,Erin Ashbrook,Corporate,United States,New York,10011,East
Milwaukee,PV-18985,Paul Van Hugh,Home Office,United States,Wisconsin,53209,Central
Los Angeles,TZ-21580,Tracy Zic,Consumer,United States,California,90045,West
Philadelphia,AC-10420,Alyssa Crouse,Corporate,United States,Pennsylvania,19120,East
Newark,BD-11725,Bruce Degenhardt,Consumer,United States,Ohio,43055,East
New York City,DL-12865,Dan Lawera,Consumer,United States,New York,10011,East
La Crosse,EB-13930,Eric Barreto,Consumer,United States,Wisconsin,54601,Central
Houston,DW-13540,Don Weiss,Consumer,United States,Texas,77070,Central
New York City,RR-19525,Rick Reed,Corporate,United States,New York,10035,East
Newark,LC-16870,Lena Cacioppo,Consumer,United States,Ohio,43055,East
Yonkers,KD-16270,Karen Daniels,Consumer,United States,New York,10701,East
Denver,ON-18715,Odella Nelson,Corporate,United States,Colorado,80219,West
Newark,BH-11710,Brosina Hoffman,Consumer,United States,Delaware,19711,East
Odessa,JG-15310,Jason Gross,Corporate,United States,Texas,79762,Central
Bloomington,CC-12670,Craig Carreira,Consumer,United States,Indiana,47401,Central
San Antonio,CC-12220,Chris Cortes,Consumer,United States,Texas,78207,Central
San Francisco,TS-21160,Theresa Swint,Corporate,United States,California,94110,West
Round Rock,AA-10315,Alex Avila,Consumer,United States,Texas,78664,Central
San Diego,MG-17890,Michael Granlund,Home Office,United States,California,92024,West
Miami,RF-19345,Randy Ferguson,Corporate,United States,Florida,33180,South
Mishawaka,RD-19480,Rick Duston,Consumer,United States,Indiana,46544,Central
Dover,EM-13810,Eleni McCrary,Corporate,United States,New Hampshire,3820,East
Dallas,RW-19630,Rob Williams,Corporate,United States,Texas,75220,Central
Philadelphia,JB-16045,Julia Barnett,Home Office,United States,Pennsylvania,19120,East
Chicago,LC-16870,Lena Cacioppo,Consumer,United States,Illinois,60623,Central
Fort Worth,EB-13705,Ed Braxton,Corporate,United States,Texas,76106,Central
Miami,ZC-21910,Zuschuss Carroll,Consumer,United States,Florida,33142,South
Glendale,PG-18820,Patrick Gardner,Consumer,United States,Arizona,85301,West
Philadelphia,BD-11620,Brian DeCherney,Consumer,United States,Pennsylvania,19120,East
New York City,GB-14575,Giulietta Baptist,Consumer,United States,New York,10011,East
Dallas,SJ-20125,Sanjit Jacobs,Home Office,United States,Texas,75217,Central
Jackson,SP-20650,Stephanie Phelps,Corporate,United States,Michigan,49201,Central
Milford,RB-19465,Rick Bensley,Home Office,United States,Connecticut,6460,East
Andover,PS-18760,Pamela Stobb,Consumer,United States,Massachusetts,1810,East
Long Beach,CJ-12010,Caroline Jumper,Consumer,United States,New York,11561,East
Philadelphia,BD-11770,Bryan Davis,Consumer,United States,Pennsylvania,19143,East
Los Angeles,KF-16285,Karen Ferguson,Home Office,United States,California,90008,West
Los Angeles,RH-19510,Rick Huthwaite,Home Office,United States,California,90045,West
Glendale,MH-17785,Maya Herman,Corporate,United States,Arizona,85301,West
Eagan,ON-18715,Odella Nelson,Corporate,United States,Minnesota,55122,Central
Vineland,MB-18085,Mick Brown,Consumer,United States,New Jersey,8360,East
Columbus,JP-16135,Julie Prescott,Home Office,United States,Georgia,31907,South
Philadelphia,BT-11485,Brad Thomas,Home Office,United States,Pennsylvania,19140,East
